komk,N07015,N00905,N00914,N00920,N00954,N00968,N02937,N02993,N07004,N07805,N07806,N07900,N07908,N07909,N07911,N07910,N07912,U07406,U01803,pt_share,N60404,U85001,U85002,U85420,U85421,U85422,U85427,U85429,Grupp,Huvudgrupp,Kommungrupp,Kommunnamn
114,84.248112,201706,77.556561,66.273255,97.7,37.59752,551.9909442,75.09,1097.348549,7.70214171,0.09434454,89.55353165,17971,25149,2.91925,57241,38,57,17.4,0.121050807110359,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Upplands Väsby
115,69.996204,225066,85.252936,67.85005,82.3,22.976663,88.22413216,358.36,846.533401,26.20330858,2.12807796,48.81956707,17175,24364,29.383856,23382,41,59,12.6,0.127245194134754,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Vallentuna
117,26.793431000000002,220695,83.328837,59.172013,86.8,11.958701,129.62548015,312.4,1263.341153,23.09364471,2.03775657,60.76980382,16449,24883,147.993579,37686,43,55,13.3,0.079481367800851,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Österåker
120,159.058918,225915,84.152068,60.437356,75.7,17.283579,88.79762516,448.03,977.428112,30.97388503,0.81874809,24.53352289,23741,31750,346.7223,43914,38,52,13.9,0.0867509943394117,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Värmdö
123,119.507858,205178,76.259066,65.301996,99.8,31.381097,1285.39304962,53.81,1501.207223,4.84814844,2.30953664,81.5549228,19725,26343,2.342157,NA,38,61,18.3,0.130534583041237,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Järfälla
125,36.463669,233619,84.712056,59.005172,72.9,21.615455,121.0722161,217.68,404.439385,29.65989012,2.07298073,22.17507645,20765,27063,77.859989,36492,43,NA,11.9,0.0838601384247522,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Ekerö
126,253.771074,207412,75.614891,69.00462,99.2,62.944141,782.81810549,131.01,2278.830309,6.27281925,2.46817009,53.91804098,19317,29296,14.957536,43605,36,56,21.9,0.157212666263157,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Huddinge
127,104.510162,176728,67.997958,67.400736,97.4,25.734527,451.04805068,194.17,1149.097968,7.86987013,3.42118497,68.92073652,16347,22200,13.01667,37642,34,52,29.7,0.120792074651162,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Botkyrka
128,184.425973,219036,82.890173,77.545692,98.8,21.723238,295.82177852,54.09,1050.55934,12.48360571,NA,52.01934552,16697,20652,8.186988,59900,40,63,14.5,0.166411676427838,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Salem
136,99.8369,197314,75.427451,61.880871,93.8,24.199402,176.68042002,458.07,847.625167,15.82264243,3.35249902,59.79323024,14989,24828,73.333169,42853,36,55,20.5,0.169873112002886,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Haninge
138,163.478693,222354,82.118989,69.895775,99.1,19.979527,639.4368231,69.25,1376.640094,7.74319175,2.48859889,63.4398909,19335,31555,23.734785,56026,39,59,14.2,0.127202082182298,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Tyresö
139,45.986317,199654,74.968483,67.312775,90.2,27.612335,104.90933028,235.47,1200.34004,27.85645968,2.40209465,53.68758213,15812,22225,34.530219,28433,39,57,18.8,0.174972653183782,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Upplands-Bro
140,77.391578,228104,85.692068,71.80896,75.4,20.625528,62.3396177,152.76,2392.103329,44.46470753,3.55062334,48.9750634,16870,19779,45.468865,26434,40,53,11.2,0.113480399133318,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,B4,B,4,Nykvarn
160,11.720871,244619,83.303631,68.928924,99.6,40.541708,1091.7654809,60.72,1429.312738,5.97409307,2.14157252,85.78587908,23862,34394,4.057805,62615,43,NA,10.1,0.108646186394282,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Täby
162,135.373347,263183,78.212487,72.45345,99.9,127.176889,1220.53030303,26.4,1993.358575,7.6455883,1.79505679,66.75268024,33557,50641,6.517286,84763,47,64,11.2,0.179817282663617,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Danderyd
163,127.316751,232655,79.703482,71.281771,99.9,46.905022,1294.54787234,52.64,1280.372735,5.36577481,1.0195163,74.49788426,23608,34876,3.874092,NA,39,NA,15,0.121540440153613,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Sollentuna
180,1199.143366,222003,77.137231,24.64954,100,55.678441,4796.17460063,187.17,2464.253091,2.48545897,0.33477864,90.06886693,43335,38716,0.919015,39063,34,NA,19.3,0.27421843564686,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A1,A,1,Stockholm
181,482.365601,176162,67.989836,30.872196,91,43.834663,173.42092735,525.15,1806.73533,17.87860916,2.87708236,69.78044716,13008,19621,23.157502,30977,35,40,28,0.117693101087503,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,B3,B,3,Södertälje
182,59.73121,236803,81.384248,67.341236,98.8,38.344623,992.67241379,95.12,1296.008388,6.39442892,1.564295,73.73793339,30702,40840,14.413861,66093,39,61,14.4,0.171041849224997,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Nacka
183,586.191526,212193,76.386676,81.103008,100,65.432999,4916.49365629,8.67,1181.954676,2.1352719,0.79500351,94.09564794,33231,42262,0.844555,NA,33,NA,19.9,0.159133677011426,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Sundbyberg
184,1037.668408,222405,76.911934,73.166737,100,164.687236,3768.9119171,19.3,1518.875447,2.71237788,0.96004817,96.01088065,32907,48891,0.192466,NA,34,56,17.9,0.218335619701567,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Solna
186,102.616318,237036,79.317817,65.345424,98.3,26.811255,1466.81818182,30.8,1998.251361,5.15867079,2.6241522,78.96972436,34299,50557,10.00487,65946,43,NA,12.4,0.128778055240533,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Lidingö
187,245.084019,233989,84.534386,65.725518,85.9,17.977127,193.29647547,57.88,1178.941723,21.0395921,1.12176655,36.18584071,25345,37009,154.272435,46896,42,53,11.1,0.0582077259467276,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Vaxholm
188,73.761984,180007,78.500428,25.378061,56.7,8.037154,28.19636515,2016.04,1231.031753,82.05523436,0.85477099,29.68471253,14146,17052,448.957692,23678,43,NA,18.2,0.0573394634529622,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,C6,C,6,Norrtälje
191,362.399705,194027,74.385633,44.279555,85.5,70.339918,132.47403787,327.4,1617.679609,22.26506782,1.96204035,61.81714854,14810,25432,10.652034,34692,37,59,21.6,0.170637515413877,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Sigtuna
192,68.10718,186305,75.417856,46.397158,80.3,9.692152,74.69060096,358.76,895.991939,38.1992263,3.48346637,42.95228778,10599,20168,112.778027,32169,40,60,19.3,0.0655233926343363,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Nynäshamn
305,21.784856,212292,81.514116,61.063786,88.9,16.746312,138.90782609,143.75,1319.661458,23.7507562,3.62707804,51.06907481,13495,18507,28.445513,23444,42,57,13.5,0.0502010976152642,94.84215763,2210.463093,16.72264436,53,66,12.37217247,21,132.1838249,A2,A,2,Håbo
319,0.547525,168050,73.752535,55.232558,88.6,21.67019,42.47837008,214.98,745.072273,59.71236071,0.87982244,31.85381473,3298,8833,69.645204,12078,44,NA,20.4,0.0332559522137845,94.84215763,2210.463093,16.72264436,53,66,12.37217247,21,132.1838249,B4,B,4,Älvkarleby
330,109.178434,224056,84.534672,69.422336,66.3,19.204108,55.21494135,282.17,1127.856226,40.08103016,1.6176774,32.09739539,16769,23269,30.808729,30373,42,60,12.1,0.0964806843381155,94.84215763,2210.463093,16.72264436,53,66,12.37217247,21,132.1838249,B4,B,4,Knivsta
331,77.174721,161480,76.061121,44.859813,61.1,18.172378,11.52715524,1166.81,785.650558,154.84231086,NA,8.00867419,4937,8778,127.509294,10358,47,NA,20.9,NA,94.84215763,2210.463093,16.72264436,53,66,12.37217247,21,132.1838249,B4,B,4,Heby
360,71.882446,165812,73.706736,41.356725,64.9,16.608187,13.01476954,1547.78,1458.995234,146.99469544,0.18922106,22.21891436,6214,8284,126.191422,12542,46,NA,21.6,0.0400718821994099,94.84215763,2210.463093,16.72264436,53,66,12.37217247,21,132.1838249,B4,B,4,Tierp
380,547.819434,193898,72.945804,17.389113,87.3,19.052419,94.00723841,2182.8,1773.06907,22.50263833,1.13295001,61.77318265,23949,23717,17.05174,18725,38,NA,21.2,0.0925559832470767,94.84215763,2210.463093,16.72264436,53,66,12.37217247,21,132.1838249,B3,B,3,Uppsala
381,210.399449,186959,79.792931,33.959116,67.7,15.164789,34.49809079,1178.5,941.361669,62.2160136,0.1241079,43.34969264,11981,15996,60.876623,19877,43,NA,16.5,0.0480960605859397,94.84215763,2210.463093,16.72264436,53,66,12.37217247,21,132.1838249,B5,B,5,Enköping
382,23.698014,175749,80.903894,27.334152,66.7,14.025389,14.47318475,1475.28,944.31435,126.78268682,0.24501169,23.19992475,7210,11355,263.722368,21499,47,54,15.9,0.0667259327533454,94.84215763,2210.463093,16.72264436,53,66,12.37217247,21,132.1838249,B5,B,5,Östhammar
428,15.053763,166784,72.899252,37.927171,66,23.081232,23.86096632,370.27,944.878325,107.50483733,1.60347103,10.32441662,1738,7838,125.863045,11551,46,56,22.6,0.0773260403696083,35.58624785,1676.05172,29.29596977,40,62,13.23406801,13,57.21099979,C7,C,7,Vingåker
461,45.729657,182437,79.185841,47.105045,66.2,19.768404,22.56742694,461.24,834.662311,100.07237929,1.77978575,26.05782118,8884,16545,158.132385,19583,44,53,18.4,0.0903051616913948,35.58624785,1676.05172,29.29596977,40,62,13.23406801,13,57.21099979,B4,B,4,Gnesta
480,44.647234,183314,78.052306,17.769345,81.9,19.584227,37.3286225,1420.84,849.692673,61.99090243,0.03613647,57.96533736,9311,15020,57.996154,21499,43,56,17.8,0.0335621586358483,35.58624785,1676.05172,29.29596977,40,62,13.23406801,13,57.21099979,C6,C,6,Nyköping
481,13.066737,171239,75.096457,43.24681,97.1,27.716674,322.20966375,35.39,1089.274752,14.35528193,0.14557882,63.07035489,2513,11625,66.473735,28922,44,58,17.5,0.0411198789951946,35.58624785,1676.05172,29.29596977,40,62,13.23406801,13,57.21099979,C7,C,7,Oxelösund
482,29.462738,162344,68.995847,31.284553,71.6,20.130081,22.47541143,718.83,1180.67591,106.64525625,0.23987965,30.82392565,2980,8317,159.012132,17069,46,53,25.6,0.0126938939872665,35.58624785,1676.05172,29.29596977,40,62,13.23406801,13,57.21099979,B5,B,5,Flen
483,157.78925,169294,71.371237,19.217712,82,19.276753,32.2783011,1020.19,1411.387792,76.13473353,0.36440952,45.30059012,7098,10790,57.880352,14747,43,NA,22.6,0.0575917712748174,35.58624785,1676.05172,29.29596977,40,62,13.23406801,13,57.21099979,C6,C,6,Katrineholm
484,605.581125,175264,71.10118,12.928282,88.2,14.36264,90.67344323,1099.87,1529.865937,30.0087569,0.14590824,60.05204747,10068,14375,32.778831,17692,40,50,24.8,0.0648915492501172,35.58624785,1676.05172,29.29596977,40,62,13.23406801,13,57.21099979,B3,B,3,Eskilstuna
486,99.703495,195746,79.117354,38.676049,76.2,13.395882,45.13856969,739.7,1071.460661,56.60295256,0.3396488,46.74452378,10871,17323,95.270898,20353,43,55,16.7,0.0375019949674105,35.58624785,1676.05172,29.29596977,40,62,13.23406801,13,57.21099979,B4,B,4,Strängnäs
488,33.64726,203736,80.638029,46.145572,82.2,15.847974,55.69064988,209.73,1441.181507,50.2506014,0.70539201,25.58300824,16249,19415,145.291096,27764,44,63,13.3,0.00495586866172025,35.58624785,1676.05172,29.29596977,40,62,13.23406801,13,57.21099979,B4,B,4,Trosa
509,53.150367,160187,76.646707,35.409253,55.1,14.234875,12.02081688,430.42,3185.5431,201.3027242,NA,31.91612159,848,5440,136.451488,14853,51,NA,22.9,0.0670773595763748,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,C7,C,7,Ödeshög
512,32.347249,165898,78.777778,42.785445,43.2,14.55458,5.3551864,675.42,626.486038,475.78501769,0.34481932,31.845898,NA,5076,276.472215,13425,53,NA,20.5,0.0691213385733646,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,C7,C,7,Ydre
513,29.177719,174488,80.240481,33.715596,65.8,11.880734,8.67840669,1129.47,744.03183,273.47585748,NA,29.32022932,3936,8374,172.005713,18731,49,61,19,0.0443932044625836,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B5,B,5,Kinda
560,17.999242,168229,78.150036,50.344828,69,15.689655,10.03861004,525.77,1315.270936,223.55772527,NA,31.6890595,1246,9105,221.674877,17308,47,62,19.4,0.142737572103362,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,C7,C,7,Boxholm
561,76.17801,168676,77.442578,44.499792,76.7,12.619344,16.69045469,686.62,1366.317627,137.53169119,2.79765216,21.91756898,2271,8288,71.116928,16819,48,66,20,0.0434156794552432,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B4,B,4,Åtvidaberg
562,10.429125,168141,75.56735,22.809805,79.9,21.130277,19.80801304,1055.28,943.261733,103.16323504,NA,33.35899904,2063,8313,90.991724,14099,46,NA,18.7,0.0310184901870242,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B5,B,5,Finspång
563,-14.238629,159301,73.83812,29.624838,58.3,16.752911,10.33632226,733.82,1428.740936,183.93909664,NA,4.77006193,966,8720,352.142386,21773,50,NA,22.9,0.0369378884056285,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B5,B,5,Valdemarsvik
580,207.107762,183308,72.11795,13.106502,89.4,22.828724,105.22473799,1427.44,1444.900867,26.06162536,2.41334621,68.86269071,16662,18850,17.995766,17142,41,NA,21.6,0.0733511580521828,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B3,B,3,Linköping
581,459.34549,177168,71.686747,15.03676,90.1,17.713969,89.46122203,1495.05,1361.251299,27.36247047,1.81820857,58.39417163,11409,16726,28.770309,17898,40,NA,22.1,0.0738040410940087,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B3,B,3,Norrköping
582,51.708348,184153,79.224806,54.824029,61.1,19.447816,21.06551903,673.85,1478.760127,95.83435921,0.24717959,18.59656591,8131,15408,160.197253,21487,44,61,16.9,0.0129832168827347,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B4,B,4,Söderköping
583,109.725745,170813,71.759099,25.929325,83.9,13.721891,42.89519975,983.49,1104.107901,57.55419257,0.16888644,44.21432325,4393,10872,49.13836,18003,44,61,20.8,0.0160779621134821,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B5,B,5,Motala
584,-0.812678,173590,76.093917,39.246969,75.9,33.056796,40.6016278,181.84,1042.801029,59.10572259,0.38528817,20.89470813,3154,10515,70.432074,14838,50,60,16.6,0.0315566525978258,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,C7,C,7,Vadstena
586,23.410482,176378,77.805801,41.484494,79.6,25.978648,48.18260057,546.11,1669.402957,52.85841394,0.30098369,55.16003361,5682,11689,22.726409,12550,45,60,18.3,0.0269873934668688,63.07019476,2003.830096,29.7052072,NA,NA,12.66935265,NA,67.45719976,B4,B,4,Mjölby
604,83.764706,171397,80.17192,46.148782,60.7,21.461488,12.31265451,517.76,1045.803922,201.38067106,1.31752151,13.9139919,1042,5299,93.803922,15923,50,61,20.3,0.0346795448357524,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B4,B,4,Aneby
617,12.119923,186278,79.034158,24.305872,74.7,37.733273,22.36435399,420.58,944.928769,101.04056611,0.72440421,16.85909771,604,6585,38.805018,6449,46,NA,18.8,0.0258401697522655,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C7,C,7,Gnosjö
642,33.385424,175965,77.422848,45.518118,87.5,29.561348,35.16686651,200.16,1303.025998,81.57898815,0.91982144,12.96768707,2991,7598,65.492257,8378,47,NA,18.8,0.0324705027963212,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B4,B,4,Mullsjö
643,49.476082,193618,85.250939,56.944964,70.1,24.298016,33.4074029,328.52,1208.473804,85.34322361,0.38487963,56.49899027,6743,13418,47.835991,11576,44,NA,15.6,0.0764894038509874,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B4,B,4,Habo
662,-38.379828,180749,77.588892,18.793503,81.1,19.752514,25.25152144,1137.08,1055.201477,104.98871501,1.60478211,24.77105749,2173,7137,42.802912,10391,45,61,19,0.0493930862166885,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C8,C,8,Gislaved
665,137.179196,182350,82.249361,33.683875,74.7,15.583174,16.01207361,824.94,1636.308577,150.59336892,2.25137814,41.64129111,3540,8682,51.025816,12216,46,NA,17.7,0.0242861812830003,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B5,B,5,Vaggeryd
680,918.263276,185625,77.535494,10.226573,89.8,16.757966,88.35553514,1480.36,2491.406596,31.66072345,2.04155266,46.13323035,14359,16729,20.107341,17067,42,59,18.7,0.0774601351873992,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B3,B,3,Jönköping
682,65.930343,174627,75.585413,29.772192,82.5,20.141398,31.72774081,930.29,1406.559154,81.94134632,2.17470629,23.23483353,5504,7650,49.396937,14454,46,57,21,0.0632165838678553,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B5,B,5,Nässjö
683,176.866234,189527,81.107312,15.629704,78.2,21.500251,27.265625,1216,1157.5328,91.1628685,0.57928762,71.93327682,6495,10441,37.1588,13809,45,NA,16.8,0.0174426257401458,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C6,C,6,Värnamo
684,428.662595,165861,76.192171,25.71912,74.1,17.301184,16.15344967,679.05,2055.246604,159.10261482,3.70184964,28.27210633,1819,4885,60.990063,4985,48,NA,22.4,0.0375016497030143,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C7,C,7,Sävsjö
685,1255.649343,173439,79.111627,18.358714,75.2,13.181049,17.6066804,1500.51,1971.914153,140.58619236,0.98028581,27.59355035,3812,7064,71.652977,10149,49,NA,19.4,0.0159487170522038,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C8,C,8,Vetlanda
686,16.946064,175174,79.388965,18.726692,77.9,48.854555,20.5933857,799.48,1429.482507,138.90409821,3.52704304,26.38006839,4180,8227,69.36346,12837,50,62,18.8,0.0556281667516885,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,C7,C,7,Eksjö
687,325.273397,165409,75.085106,19.404572,84.2,21.265284,45.19197338,402.66,1680.82651,58.73866203,0.39883328,52.49118166,3640,8352,32.367973,21039,45,NA,21.7,0.0313928945783568,54.40427074,1471.378962,17.70526835,54,72,8.52697652,14,83.10401922,B5,B,5,Tranås
760,84.517657,167218,75.388601,23.727034,72.1,23.832021,7.92572618,1171.88,1438.307494,285.34816139,0.15738805,6.53017241,492,4212,110.89578,6263,50,51,23.3,0.00876181336280649,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,B5,B,5,Uppvidinge
761,1.737188,166096,72.597339,40.710723,87.3,23.254364,19.53460187,412.55,1072.093312,124.42419804,0.5315846,33.67053828,1047,5225,63.531456,1838,49,51,24,0.0688564646737345,44.15576757,1256.673577,18.11693114,46,63,17.54375289,10,69.36459424,B4,B,4,Lessebo
